number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,repeated,P-C,P-not-C,average price,special requests,booking status,reservation_month,reservation_dayofweek,total_nights,price_per_night,is_family,total_guests,weekend_share,previous_bookings,previous_cancel_ratio,has_special_requests,Booking_ID
1,1,2,5,Meal Plan 1,0,Room_Type 1,224,Offline,0,0,0,88.0,0,0,10,4,7,11.0,1,2,0.25,0,0.0,0,INN00001
1,0,1,3,Not Selected,0,Room_Type 1,5,Online,0,0,0,106.68,1,0,11,1,4,21.336000000000002,0,1,0.2,0,0.0,1,INN00002
2,1,1,3,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,50.0,0,1,2,2,4,10.0,1,3,0.2,0,0.0,0,INN00003
1,0,0,2,Meal Plan 1,0,Room_Type 1,211,Online,0,0,0,100.0,1,1,5,5,2,33.333333333333336,0,1,0.0,0,0.0,1,INN00004
1,0,1,2,Not Selected,0,Room_Type 1,48,Online,0,0,0,77.0,0,1,4,2,3,19.25,0,1,0.25,0,0.0,0,INN00005
1,0,0,2,Meal Plan 2,0,Room_Type 1,346,Offline,0,0,0,100.0,1,1,9,1,2,33.333333333333336,0,1,0.0,0,0.0,1,INN00006
1,1,1,4,Meal Plan 1,0,Room_Type 1,34,Online,0,0,0,107.55,1,0,10,6,5,17.925,1,2,0.16666666666666666,0,0.0,1,INN00007
3,0,1,3,Meal Plan 1,0,Room_Type 4,83,Online,0,0,0,105.61,1,0,12,2,4,21.122,0,3,0.2,0,0.0,1,INN00008
1,1,0,4,Meal Plan 1,0,Room_Type 1,121,Offline,0,0,0,96.9,1,0,7,4,4,19.380000000000003,1,2,0.0,0,0.0,1,INN00009
2,0,0,5,Meal Plan 1,0,Room_Type 4,44,Online,0,0,0,133.44,3,0,10,3,5,22.24,0,2,0.0,0,0.0,1,INN00010
1,0,1,0,Not Selected,0,Room_Type 1,0,Online,0,0,0,85.03,0,0,9,1,1,42.515,0,1,0.5,0,0.0,0,INN00011
1,0,2,1,Meal Plan 1,0,Room_Type 4,35,Online,0,0,0,140.4,1,0,4,0,3,35.1,0,1,0.5,0,0.0,1,INN00012
2,0,2,1,Not Selected,0,Room_Type 1,30,Online,0,0,0,88.0,0,1,11,0,3,22.0,0,2,0.5,0,0.0,0,INN00013
1,0,2,0,Meal Plan 1,0,Room_Type 1,95,Online,0,0,0,90.0,2,1,11,1,2,30.0,0,1,0.6666666666666666,0,0.0,1,INN00014
2,0,0,2,Meal Plan 1,0,Room_Type 1,47,Online,0,0,0,94.5,2,0,10,4,2,31.5,0,2,0.0,0,0.0,1,INN00015
2,0,0,2,Meal Plan 2,0,Room_Type 1,256,Online,0,0,0,115.0,1,1,6,4,2,38.333333333333336,0,2,0.0,0,0.0,1,INN00016
1,0,1,0,Meal Plan 1,0,Room_Type 1,0,Offline,0,0,0,96.0,0,0,10,3,1,48.0,0,1,0.5,0,0.0,0,INN00017
2,0,1,3,Not Selected,0,Room_Type 1,1,Online,0,0,0,96.0,1,0,8,3,4,19.2,0,2,0.2,0,0.0,1,INN00018
2,0,2,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,65.0,0,1,10,0,4,13.0,0,2,0.4,0,0.0,0,INN00019
2,0,1,0,Meal Plan 1,0,Room_Type 1,12,Offline,0,0,0,72.0,0,0,10,2,1,36.0,0,2,0.5,0,0.0,0,INN00020
1,0,0,1,Meal Plan 1,0,Room_Type 1,122,Corporate,0,0,0,67.0,0,0,11,6,1,33.5,0,1,0.0,0,0.0,0,INN00022
2,0,2,4,Meal Plan 1,0,Room_Type 1,2,Offline,0,0,0,85.0,0,0,3,1,6,12.142857142857142,0,2,0.2857142857142857,0,0.0,0,INN00023
2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105.0,0,0,10,5,3,26.25,0,2,0.0,0,0.0,0,INN00024
2,0,2,1,Not Selected,0,Room_Type 1,130,Online,0,0,0,94.5,1,0,5,1,3,23.625,0,2,0.5,0,0.0,1,INN00025
2,0,0,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,114.3,1,0,4,5,2,38.1,0,2,0.0,0,0.0,1,INN00026
2,0,1,1,Meal Plan 1,0,Room_Type 1,60,Offline,0,0,0,65.0,0,0,9,3,2,21.666666666666668,0,2,0.3333333333333333,0,0.0,0,INN00027
1,0,0,2,Meal Plan 1,0,Room_Type 4,2,Aviation,0,0,0,110.0,0,1,5,5,2,36.666666666666664,0,1,0.0,0,0.0,0,INN00028
1,0,1,2,Meal Plan 1,0,Room_Type 1,37,Online,0,0,0,37.33,0,1,11,0,3,9.3325,0,1,0.25,0,0.0,0,INN00029
2,0,0,2,Meal Plan 2,0,Room_Type 1,56,Offline,0,0,0,82.0,0,0,9,6,2,27.333333333333332,0,2,0.0,0,0.0,0,INN00030
2,0,1,1,Meal Plan 1,0,Room_Type 4,3,Online,0,0,0,177.5,1,0,9,1,2,59.166666666666664,0,2,0.3333333333333333,0,0.0,1,INN00031
2,0,2,2,Meal Plan 1,0,Room_Type 1,107,Online,0,0,0,87.5,1,0,11,1,4,17.5,0,2,0.4,0,0.0,1,INN00032
0,2,0,3,Meal Plan 1,0,Room_Type 2,56,Online,0,0,0,82.44,1,0,12,4,3,20.61,1,2,0.0,0,0.0,1,INN00033
2,0,0,1,Not Selected,0,Room_Type 1,2,Online,0,0,0,69.5,1,0,1,1,1,34.75,0,2,0.0,0,0.0,1,INN00034
2,0,0,2,Meal Plan 1,0,Room_Type 1,72,Offline,0,0,0,85.5,0,0,10,6,2,28.5,0,2,0.0,0,0.0,0,INN00035
2,0,0,1,Not Selected,1,Room_Type 1,23,Online,0,0,0,115.0,1,0,4,4,1,57.5,0,2,0.0,0,0.0,1,INN00036
1,0,2,1,Meal Plan 1,0,Room_Type 1,34,Online,0,0,0,81.0,0,1,6,1,3,20.25,0,1,0.5,0,0.0,0,INN00037
2,0,0,1,Meal Plan 1,0,Room_Type 1,289,Offline,0,0,0,67.0,0,0,10,1,1,33.5,0,2,0.0,0,0.0,0,INN00038
